2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0.0,69440.11287511079,768372.8586878572,2998732.017408404,7228515.107116538,12707564.238438958,17740366.114160016,21334845.535836477,23948198.05547211,26292922.90889723,28533759.432178132,30554671.36593676,32327464.042423896,33959709.55246658,35585883.284300216,37286375.64139278
0.0,60594.254854114886,680308.6450833423,2721123.4793177852,6691869.6325856,11999226.024472466,17072470.24982556,20874653.425647207,23709214.443241313,26214497.80123923,28538276.193538398,30579236.75648902,32350000.72227249,34045971.222964495,35816318.47408871,37632971.60952057
0.0,67867.39402340885,744178.1225919999,2860533.815171378,6828080.749933985,11959959.286787817,16791128.662750132,20512432.05986187,23474340.032301623,26097569.580736954,28392279.215972785,30367795.717396326,32130049.951304454,33744818.279260315,35314116.65738345,36922674.67602433
0.0,67665.43148138159,752683.8592075764,2971560.9320445308,7269607.79262431,12945179.138152484,18202493.08680858,21784163.625781626,23982551.937646296,25739617.855818205,27652800.847215187,29802317.820885204,31959238.177981324,33872266.4080651,35499422.08316301,36971651.163539976
0.0,62859.78185081512,704775.4384884306,2811774.249520578,6897653.736716727,12354426.474497586,17618164.590930555,21605274.481983025,24487113.46151287,26779456.657614082,28702758.24217155,30470649.312058486,32325216.838848814,34291289.19869439,36282168.46945413,38160000.979808174
0.0,64220.86380719707,721390.3228176995,2891171.687781559,7125082.864282156,12713234.395143395,17922273.10854863,21634985.737471197,24267855.71091939,26590968.08044272,28696540.727047347,30418715.909091856,31919225.531105604,33531921.16911874,35363610.9459339,37244006.41563899
0.0,68850.4010579103,764949.0526394551,3009694.9085356826,7316908.056427096,12936941.711592324,18109974.61107003,21687700.66956635,24054768.29996122,26066839.82893121,28112465.52658867,30185366.300630953,32107597.71943674,33765714.37759993,35316922.1500197,37047105.39325977
0.0,70326.90244237414,773509.2126618692,2990975.7458289783,7173659.520177445,12547590.926241258,17448038.252514906,20939685.216007967,23505533.509087287,25854365.046171267,28159379.263333373,30326840.8301846,32294550.609511334,34039346.82305777,35642674.527988076,37308891.79440319
0.0,67708.42253988548,752751.0025250277,2963056.3820789615,7198465.050012065,12736925.409375887,17879607.43615156,21599289.24318946,24359511.581769623,26889547.425813787,29268065.629690066,31298904.726934884,33014993.74834946,34665825.539657235,36360130.347481355,37924298.79438145
0.0,62749.51036959461,696546.7637465431,2740450.404521828,6692178.723669735,11950690.038709661,17043992.835098557,20977282.576780465,23958934.75590276,26472331.845066026,28654997.071258307,30596146.38132162,32398543.762074895,34082008.530404456,35682950.94010343,37311255.21616497
0.0,64178.838655367945,711804.5714582889,2792722.353014296,6779780.974714246,11998194.871375822,16888936.219295524,20547057.375689737,23423006.974111985,26143501.693670016,28672336.45014826,30743789.29490355,32385699.20384447,33915940.80803909,35571275.24650716,37301755.73454118
0.0,64276.173572898144,713340.9177761535,2804996.017913469,6842518.985652834,12191062.854517266,17309773.106859867,21236362.779834084,24251334.41472659,26832554.10687515,28954302.507379357,30539771.223742843,31877751.945757307,33404027.930118714,35275188.18485886,37329121.5752883
0.0,76524.21564972187,835591.2298260819,3184497.6853784197,7520819.283227204,12989492.02579896,17921505.12469342,21535342.93051696,24400418.180105574,27023151.276091747,29302692.366100483,31180449.6863728,32894064.244018987,34660601.84852604,36468610.70649221,38235609.39987351
0.0,66014.73320397374,732863.2279598227,2884664.950877029,7043316.593649799,12511367.66546582,17621560.23664108,21293448.060749393,23881272.603884615,26178744.052525867,28467120.87011901,30658804.318855602,32610600.678074516,34253031.075593784,35732219.02489158,37386130.87937148
0.0,67639.50525914242,754749.7993072532,2987145.511397939,7269613.433807489,12842733.367489798,17975214.53409828,21611112.632075198,24184374.354507048,26444869.22566559,28582474.2016267,30559801.544095933,32412671.79024463,34111920.3413827,35669090.997545816,37220394.1582295
0.0,72773.76455592897,799804.6520571928,3083619.557899576,7357453.029832429,12837070.131424606,17814340.95183262,21272242.594413035,23635913.68034465,25635023.114749037,27608550.26061753,29680411.64350996,31769918.265117068,33728635.355396844,35518563.61780054,37166561.094955064
0.0,73870.38534429511,806872.7961485205,3075180.6841859855,7249663.082721826,12470875.199534627,17117524.18997759,20469971.013129022,23166037.34266991,25789777.025952134,28221182.812606793,30318980.917975295,32212046.611017786,34075603.09304613,35965103.54021135,37826250.51174084
0.0,69173.91974268598,769164.242262944,3027183.435099126,7342670.773227531,12948369.060047863,18095095.627365883,21745931.06438724,24354277.307203326,26699554.54506882,28947862.754503336,30949074.707984,32652730.626921613,34103172.89896161,35488515.47771874,37052785.729391485
0.0,64902.214792049024,711655.4302502905,2737650.8548412765,6555173.058242616,11550732.060117401,16379234.294241004,20278917.34757432,23478451.63078428,26215790.910773855,28438191.69649033,30265562.094187684,32014936.314773012,33852508.74018113,35758471.7544196,37659523.24668258
