Date,Forecast_Registrations,yhat_lower,yhat_upper
2034-04-01,3443545.7660180577,3012963.3860978936,3881929.876077225
2034-05-01,3425530.301634254,3004452.824189428,3842812.787295538
2034-06-01,3449355.196764379,3041814.5532607944,3874368.8197959764
2034-07-01,3457918.5396841625,3057868.7243197006,3895168.0633938303
2034-08-01,3492042.0544895753,3104008.7549267877,3941398.899456918
2034-09-01,3481013.50422363,3056314.3250585566,3919091.5196390473
2034-10-01,4167359.842959255,3739165.117241837,4558675.653966938
2034-11-01,4503252.071196259,4089783.02367891,4928314.197257944
2034-12-01,3682494.928743037,3269177.636335169,4111168.2879054747
2035-01-01,3962272.786723341,3531238.0929683745,4373742.153005394
2035-02-01,3844118.1413647467,3421561.758234859,4248184.346435848
2035-03-01,3579114.8374414314,3138230.7365680444,3963759.8514349614
2035-04-01,3629135.915313222,3187066.3574629417,4040916.762020238
2035-05-01,3750719.0547627164,3316541.0264140503,4178012.1095554917
2035-06-01,3577156.3549856604,3147673.947189645,3988779.842334358
2035-07-01,3503850.7140223407,3071964.2925518216,3923068.65004828
2035-08-01,3619092.593730772,3232664.313557991,4044169.637561628
2035-09-01,3644635.044072326,3213783.7821241505,4071987.4407301187
2035-10-01,4242741.9753062315,3788048.719180536,4659035.158685524
2035-11-01,4670939.356624627,4213054.809676479,5074839.741392353
2035-12-01,3816155.289929064,3395047.837837182,4253701.57275902
