Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2030,S2,0.196,Vans,NMC,19851
2031,S2,0.196,Vans,LFP,41279
2031,S2,0.196,Vans,NMC,20173
2032,S2,0.196,Vans,LFP,48410
2032,S2,0.196,Vans,NMC,19859
2033,S2,0.196,Vans,LFP,54946
2033,S2,0.196,Vans,NMC,19302
2034,S2,0.196,Vans,LFP,60771
2034,S2,0.196,Vans,NMC,18829
2035,S2,0.196,Vans,LFP,65885
2035,S2,0.196,Vans,NMC,18628
2021,S3,0.1899,2 and 3 wheelers,LFP,19429
2021,S3,0.1899,2 and 3 wheelers,NMC,45334
2022,S3,0.1899,2 and 3 wheelers,LFP,227427
2022,S3,0.1899,2 and 3 wheelers,NMC,496171
2023,S3,0.1899,2 and 3 wheelers,LFP,976743
2023,S3,0.1899,2 and 3 wheelers,NMC,1868896
2024,S3,0.1899,2 and 3 wheelers,LFP,2616566
2024,S3,0.1899,2 and 3 wheelers,NMC,4287006
2025,S3,0.1899,2 and 3 wheelers,LFP,5174593
2025,S3,0.1899,2 and 3 wheelers,NMC,6996007
2026,S3,0.1899,2 and 3 wheelers,LFP,8261783
2026,S3,0.1899,2 and 3 wheelers,NMC,8735731
2027,S3,0.1899,2 and 3 wheelers,LFP,11435933
2027,S3,0.1899,2 and 3 wheelers,NMC,8978103
2028,S3,0.1899,2 and 3 wheelers,LFP,14546627
2028,S3,0.1899,2 and 3 wheelers,NMC,8332009
2029,S3,0.1899,2 and 3 wheelers,LFP,17552293
2029,S3,0.1899,2 and 3 wheelers,NMC,7561644
2030,S3,0.1899,2 and 3 wheelers,LFP,20316533
2030,S3,0.1899,2 and 3 wheelers,NMC,6957481
2031,S3,0.1899,2 and 3 wheelers,LFP,22674027
2031,S3,0.1899,2 and 3 wheelers,NMC,6577942
2032,S3,0.1899,2 and 3 wheelers,LFP,24612391
2032,S3,0.1899,2 and 3 wheelers,NMC,6478157
2033,S3,0.1899,2 and 3 wheelers,LFP,26239136
2033,S3,0.1899,2 and 3 wheelers,NMC,6636127
2034,S3,0.1899,2 and 3 wheelers,LFP,27604018
2034,S3,0.1899,2 and 3 wheelers,NMC,6911394
2035,S3,0.1899,2 and 3 wheelers,LFP,28715042
2035,S3,0.1899,2 and 3 wheelers,NMC,7179475
2021,S3,0.1899,Buses,LFP,91
2021,S3,0.1899,Buses,NMC,214
2022,S3,0.1899,Buses,LFP,565
2022,S3,0.1899,Buses,NMC,1155
2023,S3,0.1899,Buses,LFP,1704
2023,S3,0.1899,Buses,NMC,2942
2024,S3,0.1899,Buses,LFP,3723
2024,S3,0.1899,Buses,NMC,5432
2025,S3,0.1899,Buses,LFP,6747
2025,S3,0.1899,Buses,NMC,8291
2026,S3,0.1899,Buses,LFP,10797
2026,S3,0.1899,Buses,NMC,11116
2027,S3,0.1899,Buses,LFP,15761
2027,S3,0.1899,Buses,NMC,13499
2028,S3,0.1899,Buses,LFP,21393
2028,S3,0.1899,Buses,NMC,15150
2029,S3,0.1899,Buses,LFP,27358
