2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
20482900.530946277,19906162.805091023,22395560.47898075,23421559.96867386,27544447.16554873,28823177.9132419,31544577.245752156,32281063.88819604,36527110.16503522,35019709.46079078,37469115.0623415,38837634.518109515,43257767.93214706,42756405.2238618,45363608.85141168,44139177.58144208
19720261.177835215,21507204.81014669,22379732.696368497,25136143.543249227,27450158.704531234,30794297.929080825,33866148.61745789,32413777.600917898,34577349.015209965,37662332.48039429,39460819.52942582,38743690.44301205,41109934.90277027,42210121.553829834,42649723.12289467,44788206.77292835
18275964.59717754,19619420.338631697,22245933.002613224,24203223.148589198,29805073.58485882,28032695.04623465,32396611.947824333,32584206.278703075,35031237.1352458,36786071.4263331,36413923.05008625,39766736.11188784,41784756.29046129,43094331.441276364,44515423.97914612,48650900.097248815
18692260.325935856,19889132.457229804,21572803.649415907,23316960.56746825,27313383.54523389,30541581.1871962,32884210.501660988,32175729.178720523,34133988.41731133,36557143.91146657,37057173.272946544,40049851.187446065,41826709.32006378,40800887.96718121,45952527.34900615,47895955.54105739
18720609.38390258,20052343.62704841,22612607.71359957,24315723.720023572,28789263.444946356,31483473.355837714,31098452.9554922,31915189.833009366,33507129.893119715,35203925.31064462,37642465.58181235,41362605.16418532,40997865.77463237,42787506.65374637,44166418.27847217,47200472.654797986
22287884.762823075,19889278.45457648,21725743.17138042,25112216.902393322,28815852.574754015,31295944.138275206,31949019.643113203,32417838.207475103,35764857.65994776,37274400.256944366,38604928.794644885,39907845.28138664,42820298.34938411,43867316.09191095,45763691.06780349,46582612.247055985
19226969.578276552,20661034.070232317,23665723.99557708,23023528.47683639,28459142.013372578,28726639.794860788,31328391.790491246,34293008.30270124,35306938.86868519,36078837.5903454,36146549.082318485,40177916.13247501,42335795.356690176,45002459.17141728,43833671.25871678,46090827.8938597
19700188.833436422,22290623.650734432,22176601.00618179,24253509.325580683,28731582.91084264,29391832.678289857,30797199.767735686,33051444.903082218,36318382.91898455,34871249.354194246,37829743.22728955,38543367.96837851,42967966.89256955,40792387.98862163,43546848.68374429,46271785.7937771
21195555.73890104,20419041.02222925,21650520.77568842,26051568.630850084,26390195.974795755,26655792.013246015,31788141.492693897,32254379.6381194,33917521.912853666,36823816.673322946,37954707.67731875,38697109.285532646,40120526.229062855,43528314.32826659,44927746.952879354,45726389.862981126
21514949.50925339,19275120.03707648,20540573.602168027,23163845.594493702,27987360.087737635,29456901.63867676,31026585.81854581,33232310.782835342,33653574.46677204,37651505.48424523,37587189.705112666,40597231.11893762,41987526.44140083,43053562.7746092,44835886.13488765,46352494.43082382
20147091.201494213,22007813.056608208,22510407.62625273,24736073.71039549,27937079.940008167,30829590.468769208,30540133.767404497,34891242.807002105,35041902.18457024,34416262.130671926,37824257.539825566,38564918.02950673,42560290.67621397,41786607.41622699,43675603.390740655,43676677.76173739
18902945.582068667,17733169.622134123,20473795.906616,24793771.603002455,28934189.637982525,29665788.79033529,30215296.177687928,32774589.25799439,35083797.237618275,34722855.20919618,39374931.834518485,40326082.145250015,41339104.280851744,42562636.170525044,44423161.22447158,43502437.20828957
19136008.130740013,19717160.338333048,21139864.217782263,23624890.697089247,30086583.006675724,29912832.98110596,30657749.52552836,33484808.345947582,36691684.99805768,37067232.85837005,37747051.53866802,38603471.26636511,42396462.12624575,42981308.25101562,45207544.02876468,46567113.07198752
20609321.58110638,19884305.150597744,23792564.50844209,24162130.388620257,30402700.354872383,28387304.759486545,33236856.1311596,33055819.59925589,34341355.50059547,35481969.17395087,37318618.29713295,39813924.80750077,42194710.36624582,41876741.91117709,44157359.75811561,48292525.69963573
21379637.977643598,20990895.22267304,22329080.599891726,24075076.353425696,28737984.950541105,28004664.3704491,31008542.71449669,30918736.24619343,35545463.56138632,36754981.60895527,37135013.54701119,41113337.691202894,40183263.11443694,40859553.79099702,44441513.094776236,47038710.090709195
21330083.123140175,19971267.663573097,23519502.49164307,23897148.863474384,27842678.2960315,30191341.069839224,32025476.63800366,31024293.360430773,36780144.29568444,37579842.373042,36974481.18630762,39781872.435272284,42161575.11123714,42829631.80287961,43556689.51614064,45071019.218639776
19387811.190092567,21829649.172241945,22907428.297158904,23524430.063922487,28918130.11225142,25910552.348513167,32580439.67078404,30837294.76369841,34672543.383221276,34766405.51280451,36220034.95980855,40646425.46640733,41055278.25479998,42927653.400412016,44131587.9125613,46386075.68800288
19504128.288104113,19032621.837850563,23425229.808627844,23386228.854110762,26266552.60419592,28686751.766624738,32973926.49184829,33802697.03386048,34688346.318436116,35633490.74138441,37317166.33837481,41681508.31174686,42032630.52909748,43023057.03744779,45361825.988847114,46113311.55126182
19122527.672944997,20270290.174182303,22203704.681603774,23898592.388778538,28867941.65490701,29237375.66299003,32115261.552318282,32736799.218324184,35178047.41535117,33777634.72183892,38712996.70977266,39726141.47251179,42741312.25234789,39224286.11828099,46570236.006899536,45680121.87402702
20675935.68774248,19309493.253657784,22986555.556414966,22758129.664398327,27328892.682810158,31373163.939668246,31083098.692974675,33078171.834938344,36085084.34513874,36584455.23641045,37849417.621415295,39747017.280867964,44357975.36585988,42466128.32668892,44414842.68858318,47042781.309821844
20672917.000496022,21845938.10927322,23016246.764540162,22657584.511236902,29899520.13831304,27862950.85313993,31634568.402943034,31965593.073626604,35014418.97708661,36396590.33075343,38042154.34940056,39811387.51509411,43449564.333659455,43049886.635458685,43906331.32309411,46943674.19624888
20768292.779616695,19095703.796533655,22968969.55831014,24727285.04707343,27700393.88855771,30755712.55922002,31128514.55712456,32972998.85540493,34889573.608573854,36044108.02184192,36443742.554232694,37707172.75532627,43427471.09077277,41564665.977957584,43052938.83713862,43374607.89739952
18690872.187795434,18986951.34595445,24163895.791346595,25073673.242748737,27255571.524549745,31761309.528385296,32393753.63002922,32457294.73400658,32223432.602054585,38604989.23193416,36113043.2673317,37475109.06620675,42769564.4312183,45318231.13931733,45766105.19824166,46485527.4781334
20092590.64208874,21465956.232914254,23153740.645432025,24255944.578742426,28157946.12346529,29106000.875477053,30453417.332717218,32507852.445154782,33147679.328828387,35915894.5783714,36565158.62459812,38087408.08112833,41800218.798403956,44121656.49309226,45233952.46115952,44041933.147244394
18292453.49743716,21565452.90150373,21161749.853365853,23688263.157749362,28665706.427679732,28067115.658392113,31414055.626239944,31301796.272802442,34398716.70606515,36386482.96443352,35883681.28704096,39832355.37821009,41570693.619149335,43162898.14755966,44440899.023607776,47401678.05158407
19559122.167558085,20004843.45753587,22425503.811211307,24550103.972481158,28094920.627548236,29224352.546628796,30511516.75025096,32070214.764009245,33480442.46167818,37995691.611985475,36277333.650462076,38551522.339687586,40766886.574591555,43553972.6415363,43848322.316813424,47268418.55465227
18651641.311348338,20811699.4226535,21330062.425309006,26347844.048293922,26686771.838733263,29533154.796812534,32004744.455861185,33303005.558612753,34875573.40951763,35880463.19025425,37729215.38114416,39168447.72139525,42702050.75914754,45056441.53065375,43548481.90920073,44271703.266306885
19316541.175682914,23432177.31748695,21366292.3093021,25779929.473571405,29949936.497657355,28542835.74371151,31932312.821980532,34693685.06816904,34653419.14623217,35797448.00335095,37023958.87295057,38187797.81640277,40846407.731398486,41134140.21865378,44224099.8787982,44958422.67014236
19682467.021315474,18721789.192222863,22664099.804295953,24875826.99326477,25768697.22100695,29606832.50832106,32668644.008411624,31444212.948893856,37004810.69239107,36498172.52897611,36884900.50656618,39271550.07880976,42235536.788099214,42618732.762580276,44800469.198204175,44785892.27627655
19609268.79102214,18883731.253881756,22158378.210877046,22925920.779764432,27201612.962022424,30595577.49741126,32516211.281545058,33526663.166662894,33836059.331902064,35670461.993672915,39047611.48122624,39494729.0625903,44261249.68056198,42981116.90641483,44404507.071178965,45486037.85590071
19568571.06300953,20320268.808888994,23095608.183163088,25014063.11088155,27144146.812004134,27650887.179867975,29243603.027317587,33410852.973663166,33823390.85803192,33603533.979029916,38117947.95329656,42151914.30721129,41586299.85292858,43489523.09707968,44278628.835638575,45726717.533232585
