Year,Scenario,Probability,Vehicle_Class,Chemistry,EOL_Volume
2028,Optimistic,0.25,Cars,NMC,294074
2028,Optimistic,0.25,Vans,LFP,23978
2028,Optimistic,0.25,Vans,NMC,20759
2028,Pessimistic,0.25,2 and 3 wheelers,LFP,11828311
2028,Pessimistic,0.25,2 and 3 wheelers,NMC,6670966
2028,Pessimistic,0.25,Buses,LFP,17224
2028,Pessimistic,0.25,Buses,NMC,11877
2028,Pessimistic,0.25,Cars,LFP,200813
2028,Pessimistic,0.25,Cars,NMC,181910
2028,Pessimistic,0.25,Vans,LFP,15538
2028,Pessimistic,0.25,Vans,NMC,12936
2029,Base,0.5,2 and 3 wheelers,LFP,17733895
2029,Base,0.5,2 and 3 wheelers,NMC,7659725
2029,Base,0.5,Buses,LFP,27623
2029,Base,0.5,Buses,NMC,16161
2029,Base,0.5,Cars,LFP,365711
2029,Base,0.5,Cars,NMC,294996
2029,Base,0.5,Vans,LFP,26823
2029,Base,0.5,Vans,NMC,19139
2029,Optimistic,0.25,2 and 3 wheelers,LFP,20992301
2029,Optimistic,0.25,2 and 3 wheelers,NMC,9138657
2029,Optimistic,0.25,Buses,LFP,32971
2029,Optimistic,0.25,Buses,NMC,19635
2029,Optimistic,0.25,Cars,LFP,442275
2029,Optimistic,0.25,Cars,NMC,363049
2029,Optimistic,0.25,Vans,LFP,32294
2029,Optimistic,0.25,Vans,NMC,23445
2029,Pessimistic,0.25,2 and 3 wheelers,LFP,14476975
2029,Pessimistic,0.25,2 and 3 wheelers,NMC,6183796
2029,Pessimistic,0.25,Buses,LFP,22281
2029,Pessimistic,0.25,Buses,NMC,12697
2029,Pessimistic,0.25,Cars,LFP,289358
2029,Pessimistic,0.25,Cars,NMC,227163
2029,Pessimistic,0.25,Vans,LFP,21364
2029,Pessimistic,0.25,Vans,NMC,14847
2030,Base,0.5,2 and 3 wheelers,LFP,20414751
2030,Base,0.5,2 and 3 wheelers,NMC,7011086
2030,Base,0.5,Buses,LFP,33603
2030,Base,0.5,Buses,NMC,16349
2030,Base,0.5,Cars,LFP,493003
2030,Base,0.5,Cars,NMC,344906
2030,Base,0.5,Vans,LFP,34323
2030,Base,0.5,Vans,NMC,20353
2030,Optimistic,0.25,2 and 3 wheelers,LFP,23906709
2030,Optimistic,0.25,2 and 3 wheelers,NMC,8252583
2030,Optimistic,0.25,Buses,LFP,39770
2030,Optimistic,0.25,Buses,NMC,19689
2030,Optimistic,0.25,Cars,LFP,592117
2030,Optimistic,0.25,Cars,NMC,422335
2030,Optimistic,0.25,Vans,LFP,40977
2030,Optimistic,0.25,Vans,NMC,24744
2030,Pessimistic,0.25,2 and 3 wheelers,LFP,16913736
2030,Pessimistic,0.25,2 and 3 wheelers,NMC,5768488
2030,Pessimistic,0.25,Buses,LFP,27436
2030,Pessimistic,0.25,Buses,NMC,13015
2030,Pessimistic,0.25,Cars,LFP,394085
2030,Pessimistic,0.25,Cars,NMC,267709
2030,Pessimistic,0.25,Vans,LFP,27678
2030,Pessimistic,0.25,Vans,NMC,15974
2031,Base,0.5,2 and 3 wheelers,LFP,22677117
2031,Base,0.5,2 and 3 wheelers,NMC,6587881
2031,Base,0.5,Buses,LFP,39276
2031,Base,0.5,Buses,NMC,16108
2031,Base,0.5,Cars,LFP,633193
2031,Base,0.5,Cars,NMC,383444
2031,Base,0.5,Vans,LFP,41808
2031,Base,0.5,Vans,NMC,20588
2031,Optimistic,0.25,2 and 3 wheelers,LFP,26325518
2031,Optimistic,0.25,2 and 3 wheelers,NMC,7669319
2031,Optimistic,0.25,Buses,LFP,46111
2031,Optimistic,0.25,Buses,NMC,19209
2031,Optimistic,0.25,Cars,LFP,755250
2031,Optimistic,0.25,Cars,NMC,466789
2031,Optimistic,0.25,Vans,LFP,49496
2031,Optimistic,0.25,Vans,NMC,24807
2031,Pessimistic,0.25,2 and 3 wheelers,LFP,19012076
2031,Pessimistic,0.25,2 and 3 wheelers,NMC,5502583
2031,Pessimistic,0.25,Buses,LFP,32432
2031,Pessimistic,0.25,Buses,NMC,13008
2031,Pessimistic,0.25,Cars,LFP,511269
2031,Pessimistic,0.25,Cars,NMC,300319
2031,Pessimistic,0.25,Vans,LFP,34121
2031,Pessimistic,0.25,Vans,NMC,16378
2032,Base,0.5,2 and 3 wheelers,LFP,24500390
2032,Base,0.5,2 and 3 wheelers,NMC,6450967
2032,Base,0.5,Buses,LFP,44457
2032,Base,0.5,Buses,NMC,15708
2032,Base,0.5,Cars,LFP,779989
2032,Base,0.5,Cars,NMC,408712
2032,Base,0.5,Vans,LFP,48907
2032,Base,0.5,Vans,NMC,20178
2032,Optimistic,0.25,2 and 3 wheelers,LFP,28234693
2032,Optimistic,0.25,2 and 3 wheelers,NMC,7442931
2032,Optimistic,0.25,Buses,LFP,51797
2032,Optimistic,0.25,Buses,NMC,18538
2032,Optimistic,0.25,Cars,LFP,923926
2032,Optimistic,0.25,Cars,NMC,494183
2032,Optimistic,0.25,Vans,LFP,57428
2032,Optimistic,0.25,Vans,NMC,24066
2032,Pessimistic,0.25,2 and 3 wheelers,LFP,20743284
2032,Pessimistic,0.25,2 and 3 wheelers,NMC,5453331
2032,Pessimistic,0.25,Buses,LFP,37089
2032,Pessimistic,0.25,Buses,NMC,12874
2032,Pessimistic,0.25,Cars,LFP,636026
2032,Pessimistic,0.25,Cars,NMC,323412
2032,Pessimistic,0.25,Vans,LFP,40371
2032,Pessimistic,0.25,Vans,NMC,16293
2033,Base,0.5,2 and 3 wheelers,LFP,25967354
2033,Base,0.5,2 and 3 wheelers,NMC,6567811
2033,Base,0.5,Buses,LFP,49074
2033,Base,0.5,Buses,NMC,15369
2033,Base,0.5,Cars,LFP,927017
2033,Base,0.5,Cars,NMC,421461
2033,Base,0.5,Vans,LFP,55377
2033,Base,0.5,Vans,NMC,19532
2033,Optimistic,0.25,2 and 3 wheelers,LFP,29729678
2033,Optimistic,0.25,2 and 3 wheelers,NMC,7521806
2033,Optimistic,0.25,Buses,LFP,56774
2033,Optimistic,0.25,Buses,NMC,17951
2033,Optimistic,0.25,Cars,LFP,1090575
2033,Optimistic,0.25,Cars,NMC,505643
2033,Optimistic,0.25,Vans,LFP,64523
2033,Optimistic,0.25,Vans,NMC,23042
2033,Pessimistic,0.25,2 and 3 wheelers,LFP,22171483
2033,Pessimistic,0.25,2 and 3 wheelers,NMC,5605428
2033,Pessimistic,0.25,Buses,LFP,41328
2033,Pessimistic,0.25,Buses,NMC,12778
2033,Pessimistic,0.25,Cars,LFP,763187
2033,Pessimistic,0.25,Cars,NMC,337367
2033,Pessimistic,0.25,Vans,LFP,46196
2033,Pessimistic,0.25,Vans,NMC,16018
2034,Base,0.5,2 and 3 wheelers,LFP,27234796
2034,Base,0.5,2 and 3 wheelers,NMC,6818980
2034,Base,0.5,Buses,LFP,53155
2034,Base,0.5,Buses,NMC,15222
2034,Base,0.5,Cars,LFP,1068836
