region_country,category,parameter,mode,powertrain,year,unit,value,Aggregate group
India,Historical,EV sales,Buses,EV,2020,Vehicles,2200.0,Projection_country
India,Historical,EV sales,Buses,EV,2021,Vehicles,1200.0,Projection_country
India,Historical,EV sales,Buses,EV,2022,Vehicles,2000.0,Projection_country
India,Historical,EV sales,Buses,EV,2023,Vehicles,2300.0,Projection_country
India,Historical,EV sales,Buses,EV,2024,Vehicles,3200.0,Projection_country
India,Historical,EV sales,Buses,EV,2025,Vehicles,4300.0,Projection_country
India,Historical,EV sales,Cars,EV,2010,Vehicles,450.0,Projection_country
India,Historical,EV sales,Cars,EV,2011,Vehicles,1400.0,Projection_country
India,Historical,EV sales,Cars,EV,2012,Vehicles,190.0,Projection_country
India,Historical,EV sales,Cars,EV,2013,Vehicles,410.0,Projection_country
India,Historical,EV sales,Cars,EV,2014,Vehicles,1000.0,Projection_country
India,Historical,EV sales,Cars,EV,2015,Vehicles,450.0,Projection_country
India,Historical,EV sales,Cars,EV,2016,Vehicles,730.0,Projection_country
India,Historical,EV sales,Cars,EV,2017,Vehicles,920.0,Projection_country
India,Historical,EV sales,Cars,EV,2018,Vehicles,920.0,Projection_country
India,Historical,EV sales,Cars,EV,2019,Vehicles,690.0,Projection_country
India,Historical,EV sales,Cars,EV,2020,Vehicles,3200.0,Projection_country
India,Historical,EV sales,Cars,EV,2021,Vehicles,12000.0,Projection_country
India,Historical,EV sales,Cars,EV,2022,Vehicles,48000.0,Projection_country
India,Historical,EV sales,Cars,EV,2023,Vehicles,82000.0,Projection_country
India,Historical,EV sales,Cars,EV,2024,Vehicles,92000.0,Projection_country
India,Historical,EV sales,Cars,EV,2025,Vehicles,170000.0,Projection_country
India,Historical,EV sales,Vans,EV,2016,Vehicles,180.0,Projection_country
India,Historical,EV sales,Vans,EV,2017,Vehicles,1200.0,Projection_country
India,Historical,EV sales,Vans,EV,2018,Vehicles,1500.0,Projection_country
India,Historical,EV sales,Vans,EV,2019,Vehicles,790.0,Projection_country
India,Historical,EV sales,Vans,EV,2020,Vehicles,1000.0,Projection_country
India,Historical,EV sales,Vans,EV,2021,Vehicles,1700.0,Projection_country
India,Historical,EV sales,Vans,EV,2022,Vehicles,510.0,Projection_country
India,Historical,EV sales,Vans,EV,2023,Vehicles,360.0,Projection_country
India,Historical,EV sales,Vans,EV,2024,Vehicles,6000.0,Projection_country
India,Historical,EV sales,Vans,EV,2025,Vehicles,9200.0,Projection_country
India,Projection-CPS,EV sales,2 and 3 wheelers,EV,2035,Vehicles,4900000.0,Projection_country
India,Projection-CPS,EV sales,Buses,EV,2035,Vehicles,12000.0,Projection_country
India,Projection-CPS,EV sales,Cars,EV,2035,Vehicles,430000.0,Projection_country
India,Projection-CPS,EV sales,Trucks,EV,2035,Vehicles,260.0,Projection_country
India,Projection-CPS,EV sales,Vans,EV,2035,Vehicles,14000.0,Projection_country
India,Projection-STEPS,EV sales,2 and 3 wheelers,EV,2035,Vehicles,14000000.0,Projection_country
India,Projection-STEPS,EV sales,Buses,EV,2035,Vehicles,78000.0,Projection_country
India,Projection-STEPS,EV sales,Cars,EV,2035,Vehicles,2100000.0,Projection_country
India,Projection-STEPS,EV sales,Trucks,EV,2035,Vehicles,13000.0,Projection_country
India,Projection-STEPS,EV sales,Vans,EV,2035,Vehicles,130000.0,Projection_country
