State,Year,Month,Registrations,Month_Num,Date
ASSAM,2021,JUL,30966,7,2021-07-01
ASSAM,2021,AUG,35128,8,2021-08-01
ASSAM,2021,SEP,34652,9,2021-09-01
ASSAM,2021,OCT,42571,10,2021-10-01
ASSAM,2021,NOV,40150,11,2021-11-01
ASSAM,2021,DEC,41364,12,2021-12-01
ASSAM,2022,JAN,36768,1,2022-01-01
ASSAM,2022,FEB,37871,2,2022-02-01
ASSAM,2022,MAR,45092,3,2022-03-01
ASSAM,2022,APR,39735,4,2022-04-01
ASSAM,2022,MAY,42260,5,2022-05-01
ASSAM,2022,JUN,33513,6,2022-06-01
ASSAM,2022,JUL,39857,7,2022-07-01
ASSAM,2022,AUG,40742,8,2022-08-01
ASSAM,2022,SEP,48226,9,2022-09-01
ASSAM,2022,OCT,51760,10,2022-10-01
ASSAM,2022,NOV,48651,11,2022-11-01
ASSAM,2022,DEC,51410,12,2022-12-01
ASSAM,2023,JAN,56714,1,2023-01-01
ASSAM,2023,FEB,52417,2,2023-02-01
ASSAM,2023,MAR,60295,3,2023-03-01
ASSAM,2023,APR,49732,4,2023-04-01
ASSAM,2023,MAY,52544,5,2023-05-01
ASSAM,2023,JUN,47592,6,2023-06-01
ASSAM,2023,JUL,48584,7,2023-07-01
ASSAM,2023,AUG,48454,8,2023-08-01
ASSAM,2023,SEP,51631,9,2023-09-01
ASSAM,2023,OCT,70894,10,2023-10-01
ASSAM,2023,NOV,58523,11,2023-11-01
ASSAM,2023,DEC,55533,12,2023-12-01
ASSAM,2024,JAN,59964,1,2024-01-01
ASSAM,2024,FEB,55882,2,2024-02-01
ASSAM,2024,MAR,61157,3,2024-03-01
ASSAM,2024,APR,57825,4,2024-04-01
ASSAM,2024,MAY,56147,5,2024-05-01
ASSAM,2024,JUN,46364,6,2024-06-01
ASSAM,2024,JUL,44268,7,2024-07-01
ASSAM,2024,AUG,48175,8,2024-08-01
ASSAM,2024,SEP,49062,9,2024-09-01
ASSAM,2024,OCT,65728,10,2024-10-01
ASSAM,2024,NOV,44683,11,2024-11-01
ASSAM,2024,DEC,40227,12,2024-12-01
ASSAM,2025,JAN,60206,1,2025-01-01
ASSAM,2025,FEB,46907,2,2025-02-01
ASSAM,2025,MAR,54744,3,2025-03-01
ASSAM,2025,APR,47181,4,2025-04-01
ASSAM,2025,MAY,43348,5,2025-05-01
ASSAM,2025,JUN,43225,6,2025-06-01
ASSAM,2025,JUL,43522,7,2025-07-01
ASSAM,2025,AUG,43254,8,2025-08-01
ASSAM,2025,SEP,51992,9,2025-09-01
ASSAM,2025,OCT,65977,10,2025-10-01
ASSAM,2025,NOV,46809,11,2025-11-01
ASSAM,2025,DEC,48367,12,2025-12-01
